track_name,artist,genre,tempo,energy,valence,instrumentalness
Soft Rain Piano,Echo Keys,piano,62,0.18,0.28,0.92
Focus LoFi Beats,Night Owl,lofi,78,0.32,0.48,0.81
Sunny Drive,Aero Bloom,pop,124,0.82,0.9,0.05
Midnight Calm,Luna Shore,ambient,58,0.12,0.52,0.95
Gym Ignition,Volt Rush,edm,142,0.96,0.84,0.02
Acoustic Healing,Maple Strings,acoustic,74,0.25,0.36,0.41
Indie Smile,Paper Lights,indie,116,0.72,0.86,0.08
Storm Inside,Iron Pulse,rock,138,0.9,0.34,0.01
Coding Flow,Blue Static,lofi,88,0.4,0.57,0.76
Evening Reset,Silent Harbor,ambient,66,0.22,0.49,0.88
Morning Lift,The Solstice,dance,128,0.87,0.91,0.03
Rain Window,North Avenue,indie,80,0.29,0.31,0.21
Deep Breath,Saffron Sky,meditation,54,0.1,0.46,0.97
Victory Run,Neon District,workout,145,0.98,0.88,0.01
Quiet Library,Amber Notes,classical,60,0.16,0.5,0.99
Ocean Ease,Drift Theory,ambient,68,0.2,0.58,0.9
Heartlight,Velvet Summer,pop,118,0.76,0.87,0.04
Deadline Detox,Cloud Study,lofi,72,0.27,0.44,0.85
Sunrise Focus,Atlas Bloom,indie,108,0.61,0.78,0.14
City Pulse,Metro Echo,rap,132,0.84,0.52,0.03
Velvet Night,Noir Tides,jazz,76,0.31,0.55,0.63
Cloud Nine,Silver Avenue,pop,122,0.79,0.89,0.05
Grounded Steps,Calm Current,acoustic,70,0.22,0.47,0.46
Thunder Run,Crimson Drive,rock,144,0.93,0.41,0.02
Moonlit Pages,Quiet Ink,classical,57,0.14,0.51,0.98
Warm Horizon,Skyline Youth,dance,126,0.85,0.92,0.04
